Name;Category;Location;WikidataID;DateCelebration;DateDeclaration;Lattitude;Longitude;NombreLink;;Ubicacion2;Ubicacion2Link;Coordinate1;Coordinate1Link;Coordinate2;Coordinate2Link;Coordinate3;Coordinate3Link;Coordinate4;Image;Coordinate4Lin k;Coordinate5;Coordinate5Link;Coordinate6;Coordinate6Link;Coordinate7;Coordinate7Link;;Fecha2;Fecha2Link;Fecha3;Fecha4;Fecha4Link;;IdentificatorLink;Category;CategoryLink;Imagen1;Imagen1Alt;Image1Link
 ·Alcorisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ·Andorra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ·Calanda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ·Híjar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ·La Puebla de Híjar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ·Samper de Calanda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ·Urrea de Gaén""";Q3444111;Semana Santa;23 de mayo de 2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 (19 de diciembre de 2001; de Interés Turístico de Aragón;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 7 de noviembre de 2005; de Interés Turístico Nacional; excepto Híjar;" 1 de febrero de 1966); 23 de mayo de 2014""";"41°07′22″N; 41°03′01″N; 40°53′32″N; 40°58′38″N; 40°56′22″N; 41°12′48″N; 41°11′21″N; 41°09′36″N";"0°30′34″O; 0°07′59″O; 0°22′53″O; 0°26′41″O; 0°13′54″O; 0°26′44″O; 0°23′17″O; 0°28′13″O";https://es.wikipedia.org/wiki/Ruta_del_Tambor_y_el_Bombo;;"Albalate del Arzobispo; Alcañiz; Alcorisa; Andorra; Calanda; Híjar; La Puebla de Híjar; Samper de Calanda; Urrea de Gaén";"https://es.wikipedia.org/wiki/Albalate_del_Arzobispo; https://es.wikipedia.org/wiki/Alca%C3%B1iz; https://es.wikipedia.org/wiki/Alcorisa; https://es.wikipedia.org/wiki/Andorra_(Teruel); https://es.wikipedia.org/wiki/Calanda; https://es.wikipedia.org/wiki/H%C3%ADjar; https://es.wikipedia.org/wiki/La_Puebla_de_H%C3%ADjar; https://es.wikipedia.org/wiki/Samper_de_Calanda; https://es.wikipedia.org/wiki/Urrea_de_Ga%C3%A9n";"http://4v.dia.fi.upm.es/test/test2_files/15px-Erioll_world.svg.png; http://4v.dia.fi.upm.es/test/test2_files/15px-Erioll_world.svg.png; http://4v.dia.fi.upm.es/test/test2_files/15px-Erioll_world.svg.png; http://4v.dia.fi.upm.es/test/test2_files/15px-Erioll_world.svg.png; http://4v.dia.fi.upm.es/test/test2_files/15px-Erioll_world.svg.png; http://4v.dia.fi.upm.es/test/test2_files/15px-Erioll_world.svg.png; http://4v.dia.fi.upm.es/test/test2_files/15px-Erioll_world.svg.png; http://4v.dia.fi.upm.es/test/test2_files/15px-Erioll_world.svg.png";"Mostrar el lugar en un mapa interactivo; Mostrar el lugar en un mapa interactivo; Mostrar el lugar en un mapa interactivo; Mostrar el lugar en un mapa interactivo; Mostrar el lugar en un mapa interactivo; Mostrar el lugar en un mapa interactivo; Mostrar el lugar en un mapa interactivo; Mostrar el lugar en un mapa interactivo";"41°07′22″N 0°30′34″O / 41.12278, -0.50944 (Albalate del Obispo); 41°03′01″N 0°07′59″O / 41.05028, -0.13306 (Alcañiz); 40°53′32″N 0°22′53″O / 40.89222, -0.38139 (Alcorisa); 40°58′38″N 0°26′41″O / 40.97722, -0.44472 (Andorra (Teruel)); 40°56′22″N 0°13′54″O / 40.93944, -0.23167 (Calanda); 41°12′48″N 0°26′44″O / 41.21333, -0.44556 (La Puebla de Híjar); 41°11′21″N 0°23′17″O / 41.18917, -0.38806 (Samper de Calanda); 41°09′36″N 0°28′13″O / 41.16000, -0.47028 (Urrea de Gaén)";"http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_07_22_N_0_30_34_W_&title=Albalate+del+Obispo; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_03_01_N_0_07_59_W_&title=Alca%C3%B1iz; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=40_53_32_N_0_22_53_W_&title=Alcorisa; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=40_58_38_N_0_26_41_W_&title=Andorra+%28Teruel%29; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=40_56_22_N_0_13_54_W_&title=Calanda; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_12_48_N_0_26_44_W_&title=La+Puebla+de+H%C3%ADjar; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_11_21_N_0_23_17_W_&title=Samper+de+Calanda; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_09_36_N_0_28_13_W_&title=Urrea+de+Ga%C3%A9n";"41°07′22″N; 41°03′01″N; 40°53′32″N; 40°58′38″N; 40°56′22″N; 41°12′48″N; 41°11′21″N; 41°09′36″N";"http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_07_22_N_0_30_34_W_&title=Albalate+del+Obispo; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_03_01_N_0_07_59_W_&title=Alca%C3%B1iz; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=40_53_32_N_0_22_53_W_&title=Alcorisa; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=40_58_38_N_0_26_41_W_&title=Andorra+%28Teruel%29; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=40_56_22_N_0_13_54_W_&title=Calanda; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_12_48_N_0_26_44_W_&title=La+Puebla+de+H%C3%ADjar; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_11_21_N_0_23_17_W_&title=Samper+de+Calanda; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_09_36_N_0_28_13_W_&title=Urrea+de+Ga%C3%A9n";"0°30′34″O; 0°07′59″O; 0°22′53″O; 0°26′41″O; 0°13′54″O; 0°26′44″O; 0°23′17″O; 0°28′13″O";;"http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_07_22_N_0_30_34_W_&title=Albalate+del+Obispo; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_03_01_N_0_07_59_W_&title=Alca%C3%B1iz; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=40_53_32_N_0_22_53_W_&title=Alcorisa; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=40_58_38_N_0_26_41_W_&title=Andorra+%28Teruel%29; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=40_56_22_N_0_13_54_W_&title=Calanda; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_12_48_N_0_26_44_W_&title=La+Puebla+de+H%C3%ADjar; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_11_21_N_0_23_17_W_&title=Samper+de+Calanda; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_09_36_N_0_28_13_W_&title=Urrea+de+Ga%C3%A9n";"41.12278,; 41.05028,; 40.89222,; 40.97722,; 40.93944,; 41.21333,; 41.18917,; 41.16000,";"http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_07_22_N_0_30_34_W_&title=Albalate+del+Obispo; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_03_01_N_0_07_59_W_&title=Alca%C3%B1iz; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=40_53_32_N_0_22_53_W_&title=Alcorisa; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=40_58_38_N_0_26_41_W_&title=Andorra+%28Teruel%29; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=40_56_22_N_0_13_54_W_&title=Calanda; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_12_48_N_0_26_44_W_&title=La+Puebla+de+H%C3%ADjar; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_11_21_N_0_23_17_W_&title=Samper+de+Calanda; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_09_36_N_0_28_13_W_&title=Urrea+de+Ga%C3%A9n";"-0.50944; -0.13306; -0.38139; -0.44472; -0.23167; -0.44556; -0.38806; -0.47028";"http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_07_22_N_0_30_34_W_&title=Albalate+del+Obispo; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_03_01_N_0_07_59_W_&title=Alca%C3%B1iz; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=40_53_32_N_0_22_53_W_&title=Alcorisa; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=40_58_38_N_0_26_41_W_&title=Andorra+%28Teruel%29; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=40_56_22_N_0_13_54_W_&title=Calanda; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_12_48_N_0_26_44_W_&title=La+Puebla+de+H%C3%ADjar; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_11_21_N_0_23_17_W_&title=Samper+de+Calanda; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_09_36_N_0_28_13_W_&title=Urrea+de+Ga%C3%A9n";"Albalate del Obispo; Alcañiz; Alcorisa; Andorra (Teruel); Calanda; La Puebla de Híjar; Samper de Calanda; Urrea de Gaén";"http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_07_22_N_0_30_34_W_&title=Albalate+del+Obispo; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_03_01_N_0_07_59_W_&title=Alca%C3%B1iz; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=40_53_32_N_0_22_53_W_&title=Alcorisa; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=40_58_38_N_0_26_41_W_&title=Andorra+%28Teruel%29; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=40_56_22_N_0_13_54_W_&title=Calanda; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_12_48_N_0_26_44_W_&title=La+Puebla+de+H%C3%ADjar; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_11_21_N_0_23_17_W_&title=Samper+de+Calanda; http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_09_36_N_0_28_13_W_&title=Urrea+de+Ga%C3%A9n";;Semana Santa;https://es.wikipedia.org/wiki/Semana_Santa;23 de mayo de 2014;;;;;;;;;;;
 (19 de diciembre de 2001; de Interés Turístico de Aragón;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 7 de noviembre de 2005; de Interés Turístico Nacional; excepto Híjar;" 1 de febrero de 1966); 23 de mayo de 2014""";;;;https://www.wikidata.org/wiki/Q3444111;Ruta del tambor y el bombo;https://commons.wikimedia.org/wiki/Category:Ruta_del_tambor_y_el_bombo;"http://4v.dia.fi.upm.es/test/test2_files/100px-SemanaSanta_Urrea.jpg; http://4v.dia.fi.upm.es/test/test2_files/16px-Camera-photo_Upload.svg.png";"Ruta del Tambor y el Bombo; Haz clic aquí para subir tu imagen";"https://commons.wikimedia.org/wiki/File:SemanaSanta_Urrea.jpg; https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlfolk&id=Q3444111&descriptionlang=es&categories=Ruta+del+tambor+y+el+bombo&description=Ruta+del+Tambor+y+el+Bombo";;;;;;;;;;;;;;;;;;;;;;;;;;;
Semana Santa en Cuenca;International;Cuenca;Q6124513;Semana Santa;"1980[9]​; 1980";40°04′18″N;2°08′06″O;https://es.wikipedia.org/w/index.php?title=Semana_Santa_en_Cuenca&action=edit&redlink=1;;Cuenca;https://es.wikipedia.org/wiki/Cuenca_(Espa%C3%B1a);http://4v.dia.fi.upm.es/test/test2_files/15px-Erioll_world.svg.png;Mostrar el lugar en un mapa interactivo;40°04′18″N 2°08′06″O / 40.07167, -2.13500 (Cuenca);http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=40_04_18_N_2_08_06_W_&title=Cuenca;40°04′18″N;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=40_04_18_N_2_08_06_W_&title=Cuenca;2°08′06″O;;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=40_04_18_N_2_08_06_W_&title=Cuenca;4.007.167,00;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=40_04_18_N_2_08_06_W_&title=Cuenca;-213.500;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=40_04_18_N_2_08_06_W_&title=Cuenca;Cuenca;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=40_04_18_N_2_08_06_W_&title=Cuenca;;Semana Santa;https://es.wikipedia.org/wiki/Semana_Santa;"1980[9]​; 1980";[9];https://es.wikipedia.org/wiki/Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)#cite_note-9;;https://www.wikidata.org/wiki/Q6124513;Holy Week in Cuenca, Spain;https://commons.wikimedia.org/wiki/Category:Holy_Week_in_Cuenca,_Spain;"http://4v.dia.fi.upm.es/test/test2_files/100px-La_Virgen_de_la_Soledad.jpg; http://4v.dia.fi.upm.es/test/test2_files/16px-Camera-photo_Upload.svg.png";"Semana Santa en Cuenca; Haz clic aquí para subir tu imagen";"https://commons.wikimedia.org/wiki/File:La_Virgen_de_la_Soledad.jpg; https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlfolk&id=Q6124513&descriptionlang=es&categories=Holy+Week+in+Cuenca%2C+Spain&description=Semana+Santa+en+Cuenca"
Semana Santa de Málaga;International;Málaga;Q9075883;Semana Santa;"1980[10]​; 1980";36°43′00″N;4°25′00″O;https://es.wikipedia.org/wiki/Semana_Santa_de_M%C3%A1laga;;Málaga;https://es.wikipedia.org/wiki/M%C3%A1laga;http://4v.dia.fi.upm.es/test/test2_files/15px-Erioll_world.svg.png;Mostrar el lugar en un mapa interactivo;36°43′00″N 4°25′00″O / 36.71667, -4.41667 (Málaga);http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=36_43_00_N_4_25_00_W_&title=M%C3%A1laga;36°43′00″N;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=36_43_00_N_4_25_00_W_&title=M%C3%A1laga;4°25′00″O;;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=36_43_00_N_4_25_00_W_&title=M%C3%A1laga;3.671.667,00;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=36_43_00_N_4_25_00_W_&title=M%C3%A1laga;-441.667;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=36_43_00_N_4_25_00_W_&title=M%C3%A1laga;Málaga;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=36_43_00_N_4_25_00_W_&title=M%C3%A1laga;;Semana Santa;https://es.wikipedia.org/wiki/Semana_Santa;"1980[10]​; 1980";[10];https://es.wikipedia.org/wiki/Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)#cite_note-10;;https://www.wikidata.org/wiki/Q9075883;Holy Week in Málaga;https://commons.wikimedia.org/wiki/Category:Holy_Week_in_M%C3%A1laga;"http://4v.dia.fi.upm.es/test/test2_files/91px-Carreter%C3%ADa.jpg; http://4v.dia.fi.upm.es/test/test2_files/16px-Camera-photo_Upload.svg.png";"Semana Santa de Málaga; Haz clic aquí para subir tu imagen";"https://commons.wikimedia.org/wiki/File:Carreter%C3%ADa.jpg; https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlfolk&id=Q9075883&descriptionlang=es&categories=Holy+Week+in+M%C3%A1laga&description=Semana+Santa+de+M%C3%A1laga"
Semana Santa en Sevilla;International;Sevilla;Q1469338;Semana Santa;"1980[11]​; 1980";37°23′00″N;5°59′00″O;https://es.wikipedia.org/wiki/Semana_Santa_en_Sevilla;;Sevilla;https://es.wikipedia.org/wiki/Sevilla;http://4v.dia.fi.upm.es/test/test2_files/15px-Erioll_world.svg.png;Mostrar el lugar en un mapa interactivo;37°23′00″N 5°59′00″O / 37.38333, -5.98333 (Sevilla);http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=37_23_00_N_5_59_00_W_&title=Sevilla;37°23′00″N;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=37_23_00_N_5_59_00_W_&title=Sevilla;5°59′00″O;;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=37_23_00_N_5_59_00_W_&title=Sevilla;3.738.333,00;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=37_23_00_N_5_59_00_W_&title=Sevilla;-598.333;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=37_23_00_N_5_59_00_W_&title=Sevilla;Sevilla;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=37_23_00_N_5_59_00_W_&title=Sevilla;;Semana Santa;https://es.wikipedia.org/wiki/Semana_Santa;"1980[11]​; 1980";[11];https://es.wikipedia.org/wiki/Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)#cite_note-11;;https://www.wikidata.org/wiki/Q1469338;Holy Week in Seville;https://commons.wikimedia.org/wiki/Category:Holy_Week_in_Seville;"http://4v.dia.fi.upm.es/test/test2_files/100px-SemanaSantaSevillaMacarena4.jpg; http://4v.dia.fi.upm.es/test/test2_files/16px-Camera-photo_Upload.svg.png";"Semana Santa en Sevilla; Haz clic aquí para subir tu imagen";"https://commons.wikimedia.org/wiki/File:SemanaSantaSevillaMacarena4.jpg; https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlfolk&id=Q1469338&descriptionlang=es&categories=Holy+Week+in+Seville&description=Semana+Santa+en+Sevilla"
